[2021-10-31T14:09:24.706+0300][0.003s][debug][gc] ConcGCThreads: 2 offset 16
[2021-10-31T14:09:24.706+0300][0.003s][debug][gc] ParallelGCThreads: 8
[2021-10-31T14:09:24.706+0300][0.003s][debug][gc] Initialize mark stack with 4096 chunks, maximum 16384
[2021-10-31T14:09:24.716+0300][0.013s][info ][gc] Using G1
[2021-10-31T14:09:24.723+0300][0,020s][info ][gc] Periodic GC disabled
[2021-10-31T14:09:24.877+0300][0,173s][info ][gc] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 87M->24M(1600M) 34,420ms
[2021-10-31T14:09:24.949+0300][0,245s][info ][gc] GC(1) Pause Young (Normal) (G1 Evacuation Pause) 103M->47M(1600M) 38,480ms
[2021-10-31T14:09:25.041+0300][0,337s][info ][gc] GC(2) Pause Young (Normal) (G1 Evacuation Pause) 124M->69M(1600M) 29,549ms
[2021-10-31T14:09:25.135+0300][0,432s][info ][gc] GC(3) Pause Young (Normal) (G1 Evacuation Pause) 150M->95M(1600M) 32,653ms
[2021-10-31T14:09:25.224+0300][0,521s][info ][gc] GC(4) Pause Young (Normal) (G1 Evacuation Pause) 175M->112M(1600M) 25,054ms
[2021-10-31T14:09:25.397+0300][0,694s][info ][gc] GC(5) Pause Young (Normal) (G1 Evacuation Pause) 263M->156M(1600M) 44,378ms
[2021-10-31T14:09:25.589+0300][0,886s][info ][gc] GC(6) Pause Young (Normal) (G1 Evacuation Pause) 321M->209M(1600M) 63,903ms
[2021-10-31T14:09:25.754+0300][1,050s][info ][gc] GC(7) Pause Young (Normal) (G1 Evacuation Pause) 353M->240M(1600M) 46,380ms
[2021-10-31T14:09:26.000+0300][1,296s][info ][gc] GC(8) Pause Young (Normal) (G1 Evacuation Pause) 462M->315M(1600M) 69,743ms
[2021-10-31T14:09:26.258+0300][1,554s][info ][gc] GC(9) Pause Young (Normal) (G1 Evacuation Pause) 527M->345M(1600M) 42,800ms
[2021-10-31T14:09:27.231+0300][2,528s][info ][gc] GC(10) Pause Young (Normal) (G1 Evacuation Pause) 1275M->337M(1600M) 20,828ms
[2021-10-31T14:09:27.919+0300][3,216s][info ][gc] GC(11) Pause Young (Normal) (G1 Evacuation Pause) 1275M->323M(1600M) 9,369ms
[2021-10-31T14:09:28.784+0300][4,081s][info ][gc] GC(12) Pause Young (Normal) (G1 Evacuation Pause) 1275M->511M(1600M) 169,186ms
[2021-10-31T14:09:29.478+0300][4,774s][info ][gc] GC(13) Pause Young (Normal) (G1 Evacuation Pause) 1245M->533M(1600M) 153,929ms
[2021-10-31T14:09:30.048+0300][5,344s][info ][gc] GC(14) Pause Young (Normal) (G1 Evacuation Pause) 1205M->502M(1600M) 71,946ms
[2021-10-31T14:09:30.576+0300][5,873s][info ][gc] GC(15) Pause Young (Normal) (G1 Evacuation Pause) 1204M->441M(1600M) 15,025ms
[2021-10-31T14:09:31.311+0300][6,607s][info ][gc] GC(16) Pause Young (Normal) (G1 Evacuation Pause) 1240M->599M(1600M) 151,716ms
[2021-10-31T14:09:31.856+0300][7,153s][info ][gc] GC(17) Pause Young (Normal) (G1 Evacuation Pause) 1219M->593M(1600M) 85,951ms
[2021-10-31T14:09:32.329+0300][7,625s][info ][gc] GC(18) Pause Young (Normal) (G1 Evacuation Pause) 1211M->520M(1600M) 17,428ms
[2021-10-31T14:09:32.988+0300][8,285s][info ][gc] GC(19) Pause Young (Normal) (G1 Evacuation Pause) 1235M->661M(1600M) 135,048ms
[2021-10-31T14:09:33.473+0300][8,769s][info ][gc] GC(20) Pause Young (Normal) (G1 Evacuation Pause) 1226M->642M(1600M) 65,930ms
[2021-10-31T14:09:34.049+0300][9,345s][info ][gc] GC(21) Pause Young (Normal) (G1 Evacuation Pause) 1228M->757M(1600M) 144,968ms
[2021-10-31T14:09:34.491+0300][9,787s][info ][gc] GC(22) Pause Young (Normal) (G1 Evacuation Pause) 1237M->758M(1600M) 86,961ms
[2021-10-31T14:09:34.984+0300][10,281s][info ][gc] GC(23) Pause Young (Normal) (G1 Evacuation Pause) 1238M->857M(1600M) 143,162ms
[2021-10-31T14:09:35.341+0300][10,637s][info ][gc] GC(24) Pause Young (Concurrent Start) (G1 Evacuation Pause) 1257M->846M(1600M) 60,017ms
[2021-10-31T14:09:35.341+0300][10,637s][info ][gc] GC(25) Concurrent Cycle
[2021-10-31T14:09:35.370+0300][10,666s][debug][gc] GC(25) Reclaimed 743 empty regions
[2021-10-31T14:09:35.370+0300][10,666s][info ][gc] GC(25) Pause Remark 879M->136M(1600M) 1,019ms
[2021-10-31T14:09:35.381+0300][10,678s][info ][gc] GC(25) Pause Cleanup 151M->151M(1600M) 0,184ms
[2021-10-31T14:09:35.386+0300][10,682s][info ][gc] GC(25) Concurrent Cycle 45,078ms
[2021-10-31T14:09:35.761+0300][11,058s][info ][gc] GC(26) Pause Young (Normal) (G1 Evacuation Pause) 519M->186M(1600M) 111,857ms
[2021-10-31T14:09:36.544+0300][11,840s][info ][gc] GC(27) Pause Young (Normal) (G1 Evacuation Pause) 1086M->246M(1600M) 123,838ms
[2021-10-31T14:09:37.183+0300][12,480s][info ][gc] GC(28) Pause Young (Normal) (G1 Evacuation Pause) 1024M->199M(1600M) 68,320ms
[2021-10-31T14:09:37.877+0300][13,174s][info ][gc] GC(29) Pause Young (Normal) (G1 Evacuation Pause) 1086M->174M(1600M) 45,147ms
[2021-10-31T14:09:38.573+0300][13,869s][info ][gc] GC(30) Pause Young (Normal) (G1 Evacuation Pause) 1086M->156M(1600M) 27,818ms
